UBE1,-1.1365312277,-0.7682858918,0.1051643104,0.5432400853,0.5108589169
PRPH,-1.136276757,-0.1957952261,0.2098584443,0.1022459489,-0.0270556342
CSNK2B,-1.1321758515,-0.4530388497,-0.2181329526,0.6547975887,-1.1422569492
RPS3,-1.1301424697,-0.3081845607,0.1044740377,0.210688174,0.0672595283
MCM4,-1.1299717005,0.0402672659,-0.0452667598,-0.1537336332,0.6150017974
UBE1,-1.1283743696,-0.3810968884,0.1154939945,0.0713315898,0.0983931609
,-1.1266713097,-0.4791747529,0.5607441435,-0.1741376958,0.864686439
SUPT16H,-1.1264575129,-0.3710526194,0.669712429,0.1868193351,0.5807184251
PDIA4,-1.1235863704,-0.3107137138,0.1854747108,0.2404968276,0.0184970308
,-1.1235541496,-0.9910988713,0.0317079459,-0.356227862,0.2585015121
PFDN2,-1.1214849784,-0.3371199244,0.7272639777,-0.0602240898,1.4744691433
CBX3,-1.1133713854,-0.2825086038,0.8867373506,-0.0155056258,0.2392261205
CSE1L,-1.1084071137,-0.4247684341,0.0364791527,0.5680631018,0.1471494882
CORO1A,-1.1076265039,-0.2501617874,-0.0305880301,-0.0317755362,0.0230804762
MCM3,-1.1073992926,0.1741949087,-0.1052643334,0.4478381028,0.4187632239
ANP32A,-1.1052366071,-0.0147534905,0.0278770884,-0.176350113,-0.1612652894
HNRPAB,-1.1044008523,-0.3522879189,0.4201588581,0.0982725206,0.4860091432
H2AFY,-1.1042794565,0.1920858342,0.1143057188,-0.1174486436,-0.1372422998
SET,-1.1028754109,-0.4550207969,-0.1132304422,0.3060073564,0.135735247
PARK7,-1.1010936805,-0.2754466098,0.4975529151,-0.5568335982,0.0761009472
FLNA,-1.1007341568,-0.3175766518,-0.0171110707,-0.421800086,-0.0456956428
HNRPA1,-1.0991342511,-2.0452119573,0.4717792063,0.1700782672,0.1527142114
HNRPR,-1.0960538567,-0.4134795925,0.3666849653,-0.278135475,0.0118995011
KIAA1967,-1.0950642923,-0.2281847762,0.239906231,-0.1889172956,0.228124833
